icd9_code,cipi_code
14.73,14.73.00
14.73,14.73.10
14.74,14.79.Z0
14.75,14.75.00
14.79,14.79.00
14.79,14.79.Z0
14.9,14.81.00
14.9,14.81.10
14.9,14.82.00
14.9,14.82.10
14.9,14.83.00
14.9,14.83.10
14.9,14.84.00
14.9,14.85.00
14.9,14.91.Z0
14.9,14.92.Z0
14.9,14.93.Z0
15.01,15.01.00
15.09,15.0Z.00
15.11,15.11.00
15.12,15.12.00
15.13,15.13.00
15.19,15.14.00
15.19,15.15.00
15.21,15.21.00
15.22,15.22.00
15.29,15.2Z.00
15.3,15.30.00
15.4,15.40.00
15.5,15.50.00
15.6,15.60.00
15.7,15.71.00
15.7,15.72.00
15.7,15.7Z.00
15.9,15.Z0.00
16.01,16.01.00
16.02,16.02.00
16.09,16.03.10
16.09,16.03.2N
16.09,16.03.30
16.09,16.03.4H
16.09,16.04.10
16.09,16.04.2N
16.09,16.04.30
16.09,16.04.4H
16.09,16.0Z.00
16.1,16.10.00
16.21,16.21.00
16.22,16.22.00
16.22,16.22.1P
16.23,16.23.00
16.29,16.2Z.00
16.31,16.31.00
16.39,16.3Z.00
16.41,16.41.00
16.42,16.42.00
16.49,16.4Z.00
16.51,16.51.00
16.51,16.51.Z0
16.52,16.52.00
16.59,16.59.00
16.59,16.59.Z0
16.61,16.61.00
16.62,16.62.00
16.63,16.63.00
16.64,16.64.Z0
16.65,16.65.00
16.66,16.66.Z0
16.69,16.6Z.00
16.71,16.71.00
16.71,16.71.10
16.72,16.72.00
16.81,16.81.00
16.82,16.82.00
16.89,16.8Z.00
16.91,16.91.00
16.92,16.92.00
16.92,16.92.10
16.92,16.92.2C
16.92,16.92.3Y
16.93,16.92.Z0
16.98,16.98.10
16.98,16.98.Z0
16.99,16.99.Z0
18.01,18.01.00
18.02,18.02.10
