code,description,type,parent,is_billable
01.31.1T,Drenaggio di igroma intracranico mediante foro di trapanazione,procedura,01.31,1
01.31.2T,"Incisione delle meningi con guida stereotassica, mediante foro di trapanazione",procedura,01.31,1
01.31.3C,"Drenaggio subaracnoideo, a cielo aperto [craniotomia]",procedura,01.31,1
01.31.4C,"Drenaggio sottodurale, a cielo aperto [craniotomia]",procedura,01.31,1
01.31.4T,"Drenaggio sottodurale, mediante foro di trapano",procedura,01.31,1
01.31.Z0,Altra incisione delle meningi cerebrali,procedura,01.31,1
01.32,Lobotomia e trattotomia,category,01.3,0
01.32.0C,"Lobotomia e trattotomia, a cielo aperto",procedura,01.32,1
01.32.0T,Cingolotomia percutanea stereotassica (a radiofrequenza) [mediante foro di trapano],procedura,01.32,1
01.39,Altre incisioni cerebrali,category,01.3,0
01.39.1C,"Drenaggio intracerebrale, a cielo aperto",procedura,01.39,1
01.39.1T,"Drenaggio intracerebrale stereotassico, mediante foro di trapano",procedura,01.39,1
01.39.1Y,Drenaggio intracerebrale neuroendoscopico,procedura,01.39,1
01.39.2Y,Drenaggio intraventricolare neuroendoscopico,procedura,01.39,1
01.39.3C,"Amigdaloippocampotomia, a cielo aperto",procedura,01.39,1
01.39.Z0,Altre incisioni cerebrali,procedura,01.39,1
01.4,Interventi sul talamo e sul globo pallido,block,01,0
01.41,Interventi sul talamo,category,01.4,0
01.41.1C,"Talamotomia, a cielo aperto",procedura,01.41,1
01.41.1K,Talamotomia con ultrasuoni focalizzati [ab esterno],procedura,01.41,1
01.41.1T,Talamotomia Stereotassica mediante foro di trapano,procedura,01.41,1
01.41.Z0,Altri interventi sul talamo,procedura,01.41,1
01.42,Interventi sul globo pallido,category,01.4,0
01.42.0C,Pallidotomia a cielo aperto,procedura,01.42,1
01.42.0T,Pallidotomia Stereotassica mediante foro di trapano,procedura,01.42,1
01.42.Z0,Altri Interventi sul globo pallido,procedura,01.42,1
01.5,Altre asportazioni o altri interventi di demolizione sul cervello e sulle meningi cerebrali,block,01,0
01.51,Asportazione di lesione o di tessuto delle meningi cerebrali,category,01.5,0
01.51.0C,Asportazione a cielo aperto di lesione o tessuto dalle meningi cerebrali,procedura,01.51,1
01.51.0T,Asportazione mediante foro di trapanazione di lesione o tessuto tumorale dalle meningi cerebrali,procedura,01.51,1
01.51.1K,Asportazione radiochirurgica stereotassica di lesione o tessuto tumorale dalle meningi cerebrali,procedura,01.51,1
01.51.1T,Asportazione stereotassica mediante foro di trapanazione di lesione o tessuto tumorale dalle meningi cerebrali,procedura,01.51,1
01.51.2Y,Marsupializzazione endoscopica di cisti aracnoidea,procedura,01.51,1
01.51.3B,Embolizzazione endovascolare percutanea di lesione o tessuto delle meningi spinali,procedura,01.51,1
01.51.Z0,Altra Asportazione di lesione o di tessuto delle meningi cerebrali,procedura,01.51,1
01.52,Emisferectomia,category,01.5,0
